city,Expenses_outside_CC,Avg. Monthly Salary,Expense/Income,Exp_Category
Sheboygan,1950.26,3000.0,0.65,Least_Exp
Delray Beach,4897.19,4268.4,1.15,Most_Exp
Daytona Beach,3097.85,2903.0,1.07,Exp
Rocklin,3352.31,5373.0,0.62,More_Exp
Rockville,4202.06,6020.83,0.7,Most_Exp
Ames,1857.69,2832.8,0.66,Least_Exp
Dubuque,1538.72,6250.0,0.25,Least_Exp
Saratoga Springs,3529.97,2400.0,1.47,More_Exp
Alpharetta,3041.05,4738.0,0.64,Exp
Great Falls,3128.72,1000.0,3.13,More_Exp
Chapel Hill,3161.63,5500.0,0.57,More_Exp
Rocky Mount,3264.58,3000.0,1.09,More_Exp
Fairbanks,3826.07,1500.0,2.55,Most_Exp
Johnstown,1774.86,5416.67,0.33,Least_Exp
San Luis Obispo,4089.98,3566.67,1.15,Most_Exp
Des Plaines,2773.78,8333.33,0.33,Exp
Bozeman,3405.3,4361.11,0.78,More_Exp
Cape Girardeau,1962.28,5200.0,0.38,Least_Exp
Bentonville,2101.2,4250.0,0.49,Least_Exp
Normal,2509.47,2600.0,0.97,Less_Exp
Stillwater,1686.77,2578.5,0.65,Least_Exp
Minot,1738.43,2850.0,0.61,Least_Exp
Paducah,1620.07,4583.33,0.35,Least_Exp
McLean,4055.32,4236.0,0.96,Most_Exp
Roseburg,3375.28,1200.0,2.81,More_Exp
Eureka,2776.48,2766.67,1.0,Exp
McMinnville,2509.97,2333.33,1.08,Less_Exp
Issaquah,3282.18,5750.0,0.57,More_Exp
Kailua,5161.43,6500.0,0.79,Most_Exp
Pullman,1746.38,1500.0,1.16,Least_Exp
Russellville,1613.79,3333.33,0.48,Least_Exp
Laramie,1856.43,4200.0,0.44,Least_Exp
Galesburg,1663.88,1750.0,0.95,Least_Exp
Princeton,4949.66,4000.0,1.24,Most_Exp
Key West,8098.69,4683.33,1.73,Most_Exp
Bainbridge Island,4110.8,9000.0,0.46,Most_Exp
Fort Walton Beach,2848.38,4700.0,0.61,Exp
Katy,2699.97,5000.0,0.54,Exp
Somers,3376.55,5000.0,0.68,More_Exp
Doylestown,3368.22,7500.0,0.45,More_Exp
New Port Richey,2644.58,7680.0,0.34,Less_Exp
Gig Harbor,3382.31,4500.0,0.75,More_Exp
Warrenton,3394.78,2400.0,1.41,More_Exp
Brownville,1924.0,2024.0,0.95,Least_Exp
